id,full_name,team,position,total_points,matches_played,value,ppm,points_per_match
1,Fábio Ferreira Vieira,Arsenal,MID,24,3,5.4,0.225,8.0
2,Gabriel Fernando de Jesus,Arsenal,FWD,85,16,6.8,0.08,5.3125
3,Gabriel dos Santos Magalhães,Arsenal,DEF,149,33,6.2,0.04161073825503356,4.515151515151516
4,Kai Havertz,Arsenal,FWD,180,29,7.9,0.043888888888888894,6.206896551724138
5,Karl Hein,Arsenal,GKP,0,0,4.0,inf,
6,Jurriën Timber,Arsenal,DEF,0,0,5.6,inf,
7,Jorge Luiz Frello Filho,Arsenal,MID,44,10,4.7,0.10681818181818183,4.4
8,Jakub Kiwior,Arsenal,DEF,67,10,4.8,0.07164179104477612,6.7
9,Gabriel Martinelli Silva,Arsenal,MID,118,22,6.8,0.0576271186440678,5.363636363636363
12,Ethan Nwaneri,Arsenal,MID,1,0,4.5,4.5,inf
13,Martin Ødegaard,Arsenal,MID,186,34,8.3,0.044623655913978495,5.470588235294118
15,David Raya Martin,Arsenal,GKP,135,32,5.5,0.040740740740740744,4.21875
16,Declan Rice,Arsenal,MID,165,35,6.2,0.037575757575757575,4.714285714285714
17,Bukayo Saka,Arsenal,MID,226,32,10.5,0.046460176991150445,7.0625
18,William Saliba,Arsenal,DEF,164,38,6.2,0.03780487804878049,4.315789473684211
20,Thomas Partey,Arsenal,MID,24,8,5.0,0.20833333333333334,3.0
21,Kieran Tierney,Arsenal,DEF,0,0,4.3,inf,
22,Tomiyasu Takehiro,Arsenal,DEF,70,12,4.8,0.06857142857142857,5.833333333333333
23,Leandro Trossard,Arsenal,MID,138,18,6.8,0.049275362318840575,7.666666666666667
24,Benjamin White,Arsenal,DEF,182,33,6.1,0.033516483516483515,5.515151515151516
25,Oleksandr Zinchenko,Arsenal,DEF,104,19,4.8,0.04615384615384615,5.473684210526316
73,Norberto Murara Neto,Arsenal,GKP,110,32,4.2,0.038181818181818185,3.4375
186,Raheem Sterling,Arsenal,MID,123,21,6.7,0.05447154471544716,5.857142857142857
597,Myles Lewis-Skelly,Arsenal,MID,0,0,4.5,inf,
28,Leon Bailey,Aston Villa,MID,148,22,6.2,0.041891891891891894,6.7272727272727275
29,Ross Barkley,Aston Villa,MID,101,29,5.2,0.05148514851485149,3.4827586206896552
31,Emiliano Buendía Stati,Aston Villa,MID,0,0,5.2,inf,
32,Matty Cash,Aston Villa,DEF,64,23,4.4,0.06875,2.782608695652174
33,Leander Dendoncker,Aston Villa,MID,20,1,4.5,0.225,20.0
34,Moussa Diaby,Aston Villa,MID,142,24,6.5,0.045774647887323945,5.916666666666667
35,Diego Carlos Santos Silva,Aston Villa,DEF,55,20,4.5,0.08181818181818182,2.75
36,Lucas Digne,Aston Villa,DEF,85,26,4.7,0.05529411764705883,3.269230769230769
37,Lewis Dobbin,Aston Villa,MID,18,2,5.0,0.2777777777777778,9.0
38,Jhon Durán,Aston Villa,FWD,50,5,5.8,0.11599999999999999,10.0
39,Joe Gauci,Aston Villa,GKP,0,0,4.0,inf,
40,Kortney Hause,Aston Villa,DEF,0,0,4.0,inf,
42,Boubacar Kamara,Aston Villa,MID,40,18,5.0,0.125,2.2222222222222223
43,Kaine Kesler-Hayden,Aston Villa,DEF,3,0,4.0,1.3333333333333333,inf
44,Ezri Konsa Ngoyo,Aston Villa,DEF,91,34,4.4,0.04835164835164835,2.676470588235294
45,Ian Maatsen,Aston Villa,DEF,11,2,4.6,0.41818181818181815,5.5
46,Filip Marschall,Aston Villa,GKP,0,0,4.0,inf,
47,Emiliano Martínez Romero,Aston Villa,GKP,115,33,5.0,0.043478260869565216,3.484848484848485
48,John McGinn,Aston Villa,MID,119,33,5.2,0.04369747899159664,3.606060606060606
49,Tyrone Mings,Aston Villa,DEF,0,0,4.4,inf,
51,Robin Olsen,Aston Villa,GKP,17,4,4.5,0.2647058823529412,4.25
52,Pau Torres,Aston Villa,DEF,85,27,4.4,0.05176470588235295,3.1481481481481484
53,Jacob Ramsey,Aston Villa,MID,29,9,5.4,0.18620689655172415,3.2222222222222223
54,Morgan Rogers,Aston Villa,MID,35,7,5.4,0.1542857142857143,5.0
55,Viljami Sinisalo,Aston Villa,GKP,0,0,4.0,inf,
57,Youri Tielemans,Aston Villa,MID,77,17,5.5,0.07142857142857142,4.529411764705882
58,Ollie Watkins,Aston Villa,FWD,228,35,9.0,0.039473684210526314,6.514285714285714
233,Amadou Onana,Aston Villa,MID,66,23,4.9,0.07424242424242425,2.869565217391304
569,Jaden Philogene,Aston Villa,MID,1,0,5.3,5.3,inf
641,Oliwier Zych,Aston Villa,GKP,0,0,4.0,inf,
656,Kadan Young,Aston Villa,MID,0,0,4.5,inf,
59,Max Aarons,Bournemouth,DEF,28,13,4.3,0.15357142857142855,2.1538461538461537
