id,full_name,team,position,total_points,matches_played,value,points_per_match,ppm
1,Fábio Ferreira Vieira,Arsenal,MID,0,0,5.4,,
2,Gabriel Fernando de Jesus,Arsenal,FWD,28,4,6.8,7.0,1.0294117647058825
3,Gabriel dos Santos Magalhães,Arsenal,DEF,79,15,6.3,5.266666666666667,0.835978835978836
4,Kai Havertz,Arsenal,FWD,74,16,7.9,4.625,0.5854430379746836
5,Karl Hein,Arsenal,GKP,0,0,4.0,,
6,Jurriën Timber,Arsenal,DEF,63,14,5.7,4.5,0.7894736842105263
7,Jorge Luiz Frello Filho,Arsenal,MID,10,4,4.7,2.5,0.5319148936170213
8,Jakub Kiwior,Arsenal,DEF,13,3,4.8,4.333333333333333,0.9027777777777778
9,Gabriel Martinelli Silva,Arsenal,MID,63,11,6.8,5.7272727272727275,0.8422459893048129
12,Ethan Nwaneri,Arsenal,MID,15,1,4.5,15.0,3.3333333333333335
13,Martin Ødegaard,Arsenal,MID,41,10,8.4,4.1,0.488095238095238
15,David Raya Martin,Arsenal,GKP,73,18,5.6,4.055555555555555,0.7242063492063492
16,Declan Rice,Arsenal,MID,47,14,6.2,3.357142857142857,0.5414746543778802
17,Bukayo Saka,Arsenal,MID,107,14,10.3,7.642857142857143,0.7420249653259362
18,William Saliba,Arsenal,DEF,70,16,6.3,4.375,0.6944444444444444
20,Thomas Partey,Arsenal,MID,54,14,5.0,3.857142857142857,0.7714285714285715
21,Kieran Tierney,Arsenal,DEF,0,0,4.3,,
22,Tomiyasu Takehiro,Arsenal,DEF,1,0,4.8,inf,inf
23,Leandro Trossard,Arsenal,MID,58,11,6.8,5.2727272727272725,0.7754010695187166
24,Benjamin White,Arsenal,DEF,27,7,6.1,3.857142857142857,0.6323185011709602
25,Oleksandr Zinchenko,Arsenal,DEF,15,2,4.8,7.5,1.5625
73,Norberto Murara Neto,Arsenal,GKP,7,2,4.2,3.5,0.8333333333333333
