iter	RMSE
0	2.195119622
1	2.106300842
2	2.025632957
3	1.949729543
4	1.878571414
5	1.80727901
6	1.743302903
7	1.678241472
8	1.618166247
9	1.563855546
10	1.509631874
11	1.456949141
12	1.408292188
13	1.363702638
14	1.321602394
15	1.2806511
16	1.244126686
17	1.208810268
18	1.174752961
19	1.140951367
20	1.110047102
21	1.083373048
22	1.056230835
23	1.031158178
24	1.005472896
25	0.9807917449
26	0.9586012344
27	0.9396728676
28	0.9194627152
29	0.9002784015
30	0.8823106558
31	0.8638806632
32	0.8436817062
33	0.8246390326
34	0.8082882448
35	0.794026995
36	0.7808877781
37	0.7668187846
38	0.7511842384
39	0.7398722703
40	0.7254355475
41	0.7148669288
42	0.7059849381
43	0.6964391825
44	0.6887885149
45	0.6803839606
46	0.6716811932
47	0.6644102897
48	0.6531787532
49	0.6426851945
50	0.6380865185
51	0.6309278133
52	0.623541694
53	0.6195368865
54	0.6132139336
55	0.6072439629
56	0.5972599511
57	0.5923641772
58	0.5872779254
59	0.5819674881
60	0.5738191799
61	0.5691332944
62	0.5623032907
63	0.5595588169
64	0.5579066009
65	0.5559738203
66	0.5520710162
67	0.5498057535
68	0.5484090277
69	0.5452174136
70	0.5426402596
71	0.5406953886
72	0.5382140529
73	0.5351175981
74	0.5327785065
75	0.5307853605
76	0.5270107914
77	0.526148409
78	0.5235115289
79	0.5224987357
80	0.5219031051
81	0.5200853948
82	0.5133121598
83	0.5109950825
84	0.50939363
85	0.5086224872
86	0.5069539635
87	0.5051958079
88	0.503821073
89	0.5019527156
90	0.5017450482
91	0.5013889565
92	0.5006429207
93	0.4994442372
94	0.4991035749
95	0.4987016108
96	0.497944052
97	0.4946934579
98	0.494306477
99	0.493892628
100	0.4922544071
101	0.4917305286
102	0.4911787317
103	0.4906197123
104	0.4901390022
105	0.4893412194
106	0.4824461079
107	0.4818235018
108	0.4767983725
109	0.4763969937
110	0.4759564771
111	0.4756637653
112	0.4750926147
113	0.4746043904
114	0.4733569594
115	0.4729976715
116	0.4715967805
117	0.468602084
118	0.4682614935
119	0.4673390782
120	0.4665844623
121	0.4663518878
122	0.4658868616
123	0.4652258825
124	0.4621809526
125	0.4618488446
126	0.4615467578
127	0.4613335157
128	0.4609977725
129	0.4607933309
130	0.4601623059
131	0.4599547477
132	0.4593903088
133	0.4590386261
134	0.458287209
135	0.4579605967
136	0.4561115945
137	0.4559124033
138	0.4557203288
139	0.4505686015
140	0.4504697047
141	0.4503124926
142	0.4498509974
143	0.4496178988
144	0.4484478218
145	0.4479939885
146	0.4475462943
147	0.4473858217
148	0.4470035471
149	0.446913492
150	0.4467919894
151	0.4440856774
152	0.4439398073
153	0.4389894748
154	0.4385896185
155	0.4381118404
156	0.4379803256
157	0.4376487441
158	0.4372828904
159	0.4371543913
160	0.4371150078
161	0.4369462064
162	0.4367507936
163	0.4364738992
164	0.4344304503
165	0.4341889719
166	0.4339835642
167	0.4338994102
168	0.4337101434
169	0.4335448027
170	0.4334336877
171	0.4333116487
172	0.4329865843
173	0.4328479572
174	0.4305426907
175	0.4300765244
176	0.426612246
177	0.4263920646
178	0.4261885666
179	0.4244321572
180	0.4240968824
181	0.4240033604
182	0.4239206052
183	0.4230988452
184	0.4222430747
185	0.4221441353
186	0.4214013688
187	0.4210557667
188	0.4208325868
189	0.4204621807
190	0.4203464842
191	0.4198202775
192	0.4179892555
193	0.4173670151
194	0.4172626699
195	0.4169913188
196	0.4164288526
197	0.4162785531
198	0.4162227653
199	0.4156206919
200	0.4149094881
201	0.4142472263
202	0.4138030733
203	0.4137245939
204	0.412184327
205	0.4115302993
206	0.4114614598
207	0.4109519297
208	0.4103933993
209	0.4098521639
210	0.4093733929
211	0.4088424759
212	0.407236958
213	0.4068402087
214	0.4063251403
215	0.403366007
216	0.4028705892
217	0.4023898417
218	0.4020735025
219	0.3977946959
220	0.3972809722
221	0.3971152559
222	0.3967244637
223	0.3964904404
224	0.3954423756
225	0.3944796546
226	0.3941659781
227	0.3900628094
228	0.3896342023
229	0.3893310751
230	0.3885223332
231	0.3884210938
232	0.3880937505
233	0.3855595378
234	0.385469754
235	0.3851707609
236	0.3850560088
237	0.3844595739
238	0.3841429602
239	0.3839515713
240	0.3838741967
241	0.383699471
242	0.3808941845
