iter	Passed	Remaining
0	8	8235
1	15	7877
2	23	7768
3	30	7710
4	38	7656
5	46	7630
6	53	7596
7	61	7573
8	68	7546
9	76	7526
10	83	7503
11	90	7492
12	98	7484
13	106	7482
14	114	7487
15	121	7491
16	129	7490
17	137	7488
18	144	7481
19	152	7472
20	160	7467
21	167	7459
22	175	7453
23	183	7454
24	190	7445
25	198	7439
26	206	7433
27	213	7425
28	221	7415
29	228	7403
30	236	7395
31	244	7387
32	251	7381
33	259	7374
34	267	7363
35	274	7354
36	283	7371
37	291	7379
38	299	7373
39	306	7363
40	314	7355
41	322	7345
42	329	7336
43	337	7328
44	344	7320
45	352	7314
46	360	7308
47	368	7306
48	375	7294
49	383	7283
50	390	7275
51	398	7269
52	406	7261
53	414	7255
54	421	7245
55	429	7234
56	436	7225
57	444	7212
58	451	7203
59	459	7193
60	466	7186
61	474	7177
62	482	7169
63	489	7158
64	497	7151
65	504	7141
66	512	7132
67	519	7121
68	527	7112
69	534	7103
70	542	7094
71	549	7085
72	557	7074
73	564	7065
74	572	7054
75	579	7048
76	587	7041
77	594	7032
78	602	7024
79	610	7015
80	617	7006
81	625	6999
82	632	6992
83	640	6985
84	648	6978
85	655	6969
86	663	6959
87	670	6952
88	678	6943
89	685	6934
90	692	6919
91	699	6908
92	707	6898
93	714	6890
94	722	6881
95	729	6872
96	737	6864
97	744	6855
98	751	6842
99	759	6832
100	766	6824
101	774	6815
102	781	6808
103	789	6801
104	797	6795
105	804	6787
106	812	6781
107	820	6774
108	828	6768
109	835	6761
110	843	6753
111	850	6745
112	858	6739
113	866	6733
114	873	6719
115	880	6711
116	888	6702
117	895	6696
118	903	6688
119	910	6680
120	918	6672
121	926	6664
122	933	6657
123	940	6646
124	948	6638
125	956	6632
126	962	6619
127	970	6611
128	977	6602
129	985	6593
130	992	6584
131	999	6570
132	1006	6562
133	1014	6553
134	1021	6545
135	1028	6536
136	1036	6527
137	1042	6512
138	1049	6500
139	1057	6494
140	1064	6486
141	1071	6472
142	1078	6464
143	1086	6458
144	1093	6450
145	1101	6443
146	1109	6436
147	1115	6423
148	1122	6408
149	1128	6394
150	1136	6387
151	1143	6380
152	1150	6366
153	1157	6359
154	1165	6352
155	1172	6346
156	1180	6339
157	1188	6332
158	1195	6324
159	1202	6310
160	1208	6297
161	1215	6286
162	1222	6278
163	1230	6272
164	1238	6265
165	1245	6259
166	1253	6252
167	1261	6245
168	1268	6237
169	1275	6228
170	1282	6218
171	1290	6211
172	1297	6204
173	1305	6196
174	1313	6190
175	1319	6175
176	1326	6168
177	1334	6162
178	1341	6154
179	1349	6148
