name,predict,position,team,value,PPM
Ashley Young,5.839807345928838,DEF,Everton,46.00000000000001,1.2695233360714864
Vitalii Mykolenko,5.385384075740566,DEF,Everton,43.0,1.2524149013350154
Nikola Milenković,5.511831053231125,DEF,Nott'm Forest,45.00000000000001,1.224851345162472
James Tarkowski,5.52467225438564,DEF,Everton,48.0,1.1509733863303417
William Saliba,7.1276534678658745,DEF,Arsenal,62.0,1.149621527075141
Lewis Hall,4.902243465116461,DEF,Newcastle,45.00000000000001,1.0893874366925467
Maxence Lacroix,4.553998867330355,DEF,Crystal Palace,45.00000000000001,1.0119997482956342
Jarrad Branthwaite,4.655602978939404,DEF,Everton,48.0,0.9699172872790426
Jurriën Timber,5.373883875483861,DEF,Arsenal,57.00000000000001,0.9427866448217298
Marc Cucurella Saseta,4.621877657180866,DEF,Chelsea,51.0,0.9062505210158561
Alexander Isak,8.237741326378872,FWD,Newcastle,87.0,0.9468668191240084
Yoane Wissa,5.085413703393405,FWD,Brentford,61.99999999999999,0.8202280166763557
Matheus Santos Carneiro Da Cunha,5.454331891309684,FWD,Wolves,71.0,0.7682157593393921
Jamie Vardy,3.982057400328321,FWD,Leicester,56.0,0.7110816786300573
Francisco Evanilson de Lima Barbosa,4.317215433974033,FWD,Bournemouth,61.0,0.7077402350777103
Cody Gakpo,4.631998155895834,FWD,Liverpool,71.0,0.652394106464202
Jhon Durán,3.320426585316872,FWD,Aston Villa,58.0,0.5724873422960125
Nicolas Jackson,3.319979637559717,FWD,Chelsea,82.0,0.4048755655560631
Chris Wood,2.663239164092792,FWD,Nott'm Forest,66.0,0.4035210854686049
Erling Haaland,3.964273703565104,FWD,Man City,148.99999999999997,0.2660586378231614
Jordan Pickford,5.718729483360638,GKP,Everton,49.0,1.1670876496654363
David Raya Martin,4.561192314770286,GKP,Arsenal,56.0,0.8144986276375512
Dean Henderson,3.133475664468696,GKP,Crystal Palace,44.00000000000001,0.7121535601065218
Arijanet Muric,2.972971779225608,GKP,Ipswich,44.00000000000001,0.6756754043694563
Mark Flekken,2.9309083407756216,GKP,Brentford,44.99999999999999,0.6513129646168049
Kepa Arrizabalaga,2.826547345543494,GKP,Bournemouth,44.99999999999999,0.6281216323429988
Matz Sels,2.441498063552407,GKP,Nott'm Forest,47.0,0.5194676730962569
Emiliano Martínez Romero,2.579784232937945,GKP,Aston Villa,50.0,0.515956846587589
Fraser Forster,2.057569134911736,GKP,Spurs,43.0,0.4785044499794735
Stefan Ortega Moreno,2.441498063552407,GKP,Man City,52.0,0.46951885837546287
Enzo Fernández,8.716259995290292,MID,Chelsea,50.0,1.7432519990580584
Kevin Schade,8.37281877121537,MID,Brentford,51.0,1.6417291708265431
Jacob Murphy,6.308121006401469,MID,Newcastle,49.00000000000001,1.2873716339594834
Ismaïla Sarr,7.024083844782998,MID,Crystal Palace,57.00000000000001,1.232295411365438
Amad Diallo,6.137992329361131,MID,Man Utd,51.0,1.2035279077178689
Justin Kluivert,6.386310159625699,MID,Bournemouth,55.0,1.161147301750127
Cole Palmer,12.410226468393793,MID,Chelsea,111.0,1.1180384205760174
Mohamed Salah,12.063653461566409,MID,Liverpool,134.0,0.9002726463855528
Jarrod Bowen,6.020385550732007,MID,West Ham,74.0,0.8135656149637847
Bukayo Saka,6.110836333992173,MID,Arsenal,106.0,0.5764939937728466
